category	repo
bundle	cos-lite-bundle
bundle	tempo-bundle
bundle	mimir-bundle
charm	alertmanager-k8s-operator
charm	avalanche-k8s-operator
charm	catalogue-k8s-operator
charm	cos-alerter
charm	cos-configuration-k8s-operator
charm	cos-proxy-operator
charm	grafana-agent-k8s-operator
charm	grafana-agent-operator
charm	grafana-k8s-operator
charm	juju-introspect-operator
charm	karma-alertmanager-proxy-k8s-operator
charm	karma-k8s-operator
charm	loki-k8s-operator
charm	mimir-k8s-operator
charm	parca-agent-operator
charm	parca-k8s-operator
charm	parca-operator
charm	parca-scrape-target-operator
charm	polar-signals-cloud-integrator-operator
charm	prometheus-k8s-operator
charm	prometheus-pushgateway-k8s-operator
charm	prometheus-scrape-config-k8s-operator
charm	prometheus-scrape-target-k8s-operator
charm	script-exporter-operator
charm	tempo-k8s-operator
charm	tempo-worker-k8s-operator
charm	tempo-coordinator-k8s-operator
charm	traefik-k8s-operator
charm	traefik-route-k8s-operator
charm	istio-k8s-operator
charm	istio-beacon-k8s-operator
charm	istio-ingress-k8s-operator
rock	alertmanager-rock
rock	grafana-agent-rock
rock	grafana-rock
rock	loki-rock
rock	mimir-rock
rock	prometheus-rock
rock	s3proxy-rock
rock	tempo-rock
rock	traefik-rock
lib	observability-libs
lib	cos-tool
lib	nrpe_exporter
lib	cos-lib
extra	loki-operators
extra	mimir-operators
extra	tempo-operators
extra	pyroscope-operators
extra	signal-studio
extra	observability-stack
extra	cos-coordinated-workers
extra	cos-configuration-rules-dashboards
extra	observability-charm-tools
extra	o11y-tester-operator
