dimension,value,count
category,charm,48
category,extra,20
category,rock,17
category,archived,11
category,lib,8
type,bug,29
type,cleanup,22
type,documentation,21
type,archived,11
type,version-bump,8
type,goss-test-gap,6
type,enhancement,3
type,metadata-config,2
type,test,1
type,build,1
source,self-identified,65
source,existing-open-issue,39
difficulty,easy,79
difficulty,n/a,11
difficulty,medium,10
difficulty,trivial,4
repro_tier,inspection,79
repro_tier,unit,16
repro_tier,integration-REPRODUCED-live,5
repro_tier,integration-not-reproducible-here,2
repro_tier,static,1
repro_tier,integration-assessed,1
